year,record_type,state,ori,agency_name,agency_type,population_group,country_division,population,agency_status,covered_by_ori,fbi_field_office,judicial_district
2023,BH,04,CA0120700,000000000000        20211,County,Unknown,RI,O DELL,Unknown,None,Unknown,Unknown
2023,BH,04,CA0120800,000000000000        20220,Unknown,Unknown,AR,CATA,Unknown,None,Unknown,Unknown
2023,BH,04,CA012090X,000000000000,Unknown,Unknown,OA,KLAND,Unknown,None,Unknown,Unknown
2023,BH,04,CA0121000,000000000000,Unknown,Unknown,WE,OTT,Unknown,None,Unknown,Unknown
2023,BH,04,CA0121100,000000000000        20210,County,Unknown,EU,REKA,Unknown,None,Unknown,Unknown
2023,BH,04,CA0121600,000000000000        20230,County,Unknown,Unknown,0,Unknown,None,Unknown,Unknown
2023,BH,04,CA0129900,000000000000        20211,County,Unknown,AR,CATA,Unknown,None,Unknown,Unknown
2023,BH,04,CA0129925,000000000000        20211,County,Unknown,Unknown,0,Unknown,None,Unknown,Unknown
2023,BH,04,CA0129926,000000000000        20211,County,Unknown,Unknown,0,Unknown,None,Unknown,Unknown
2023,BH,04,CA0130000,000000000000        20220,Tribal,Unknown,EL,CENTRO,Unknown,None,Unknown,Unknown
2023,BH,04,CA0130100,000000000000        20220,Tribal,Unknown,BR,AWLEY,Unknown,None,Unknown,Unknown
2023,BH,04,CA0130200,000000000000        20220,Tribal,Unknown,CA,LEXICO,Unknown,None,Unknown,Unknown
2023,BH,04,CA0130300,000000000000        20240,County,Unknown,CA,LIPATRIA,Unknown,None,Unknown,Unknown
2023,BH,04,CA0130400,000000000000        20220,Tribal,Unknown,EL,CENTRO,Unknown,None,Unknown,Unknown
2023,BH,04,CA0130500,000000000000        20220,Tribal,Unknown,HO,LTVILLE,Unknown,None,Unknown,Unknown
2023,BH,04,CA0130600,000000000000        20220,Tribal,Unknown,IM,PERIAL,Unknown,None,Unknown,Unknown
2023,BH,04,CA0130700,000000000000,Unknown,Unknown,WE,STMORLAND,Unknown,None,Unknown,Unknown
2023,BH,04,CA013080X,000000000000,Unknown,Unknown,OA,KLAND,Unknown,None,Unknown,Unknown
2023,BH,04,CA0130900,000000000000,Unknown,Unknown,DE,SCANSO,Unknown,None,Unknown,Unknown
2023,BH,04,CA013980X,000000000000,Unknown,Unknown,EL,CENTRO,Unknown,None,Unknown,Unknown
2023,BH,04,CA0139900,000000000000        20211,County,Unknown,IM,PERIAL,Unknown,None,Unknown,Unknown
2023,BH,04,CA0139920,000000000000        20211,County,Unknown,Unknown,0,Unknown,None,Unknown,Unknown
2023,BH,04,CA0139925,000000000000        20211,County,Unknown,Unknown,0,Unknown,None,Unknown,Unknown
2023,BH,04,CA0139926,000000000000        20211,County,Unknown,Unknown,0,Unknown,None,Unknown,Unknown
2023,BH,04,CA0140000,000000000000        20221,State,Unknown,IN,DEPENDENC,E,None,Unknown,Unknown
2023,BH,04,CA0140100,000000000000        20221,State,Unknown,BI,SHOP,Unknown,None,Unknown,Unknown
2023,BH,04,CA014030X,000000000000,Unknown,Unknown,OA,KLAND,Unknown,None,Unknown,Unknown
2023,BH,04,CA0149900,000000000000        20211,County,Unknown,BI,SHOP,Unknown,None,Unknown,Unknown
2023,BH,04,CA0149925,000000000000        20211,County,Unknown,Unknown,0,Unknown,None,Unknown,Unknown
2023,BH,04,CA0150000,000000000000,Unknown,Unknown,BA,KERSFIELD,Unknown,None,Unknown,Unknown
2023,BH,04,CA0150100,000000000000,Unknown,Unknown,AR,VIN,Unknown,None,Unknown,Unknown
2023,BH,04,CA0150200,000000000000        20220,Unknown,Unknown,BA,KERSFIELD,Unknown,None,Unknown,Unknown
2023,BH,04,CA0150300,000000000000        20211,State,Unknown,DE,LANO,Unknown,None,Unknown,Unknown
2023,BH,04,CA0150400,000000000000,Unknown,Unknown,MA,RICOPA,Unknown,None,Unknown,Unknown
2023,BH,04,CA0150500,000000000000        20220,Unknown,Unknown,MC,FARLAND,Unknown,None,Unknown,Unknown
2023,BH,04,CA0150600,000000000000        20211,State,Unknown,RI,DGECREST,Unknown,None,Unknown,Unknown
2023,BH,04,CA0150700,000000000000        20220,Unknown,Unknown,SH,AFTER,Unknown,None,Unknown,Unknown
2023,BH,04,CA0150800,000000000000        20220,Unknown,Unknown,TA,FT,Unknown,None,Unknown,Unknown
2023,BH,04,CA0150900,000000000000        20220,University/College,Unknown,TE,HACHAPI,Unknown,None,Unknown,Unknown
2023,BH,04,CA0151000,000000000000        20240,Other,Unknown,WA,SCO,Unknown,None,Unknown,Unknown
